id,date_created,label,meta_info,people_id,type_sensor,x,y,z
310,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,944,-4305,5458
311,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,978,-4403,5419
312,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1045,-4508,5437
313,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1120,-4609,5465
314,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1131,-4697,5489
315,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1158,-4738,5499
316,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1164,-4733,5490
317,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1187,-4784,5478
318,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1144,-4782,5494
319,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1202,-4844,5442
320,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1204,-4863,5507
321,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1212,-4914,5485
322,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1192,-4902,5558
323,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1202,-4912,5536
324,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1219,-4960,5564
325,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1157,-4934,5573
326,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1136,-4882,5537
327,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1085,-4849,5561
328,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1046,-4820,5609
329,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,955,-4777,5602
330,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,944,-4734,5651
331,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,874,-4726,5685
332,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,821,-4723,5692
333,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,804,-4707,5716
334,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,782,-4678,5705
335,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,708,-4667,5725
336,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,700,-4606,5813
337,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,704,-4610,5846
338,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,721,-4545,5861
339,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,961,-3868,6142
340,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,979,-3826,6185
341,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1008,-3803,6181
342,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,979,-3732,6175
343,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1034,-3822,6253
344,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1036,-3862,6264
345,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1020,-3875,6264
346,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1025,-3856,6292
347,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1029,-3854,6235
348,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1072,-3859,6248
349,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1064,-3875,6278
350,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1097,-3914,6240
351,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1110,-3882,6285
352,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1078,-3898,6254
353,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1094,-3880,6244
354,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1064,-3853,6273
355,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1035,-3835,6318
356,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1106,-3877,6275
357,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1069,-3855,6270
358,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1046,-3873,6302
359,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1067,-3826,6297
360,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1023,-3791,6358
361,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1027,-3778,6335
362,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1042,-3781,6284
363,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1027,-3787,6302
364,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1030,-3800,6334
365,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1050,-3792,6335
366,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1045,-3767,6326
367,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1022,-3797,6372
368,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1052,-3765,6367
369,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1082,-3796,6327
370,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1067,-3740,6291
371,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1041,-3776,6330
372,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1034,-3783,6344
373,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1077,-3769,6295
374,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1094,-3745,6340
375,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1089,-3796,6284
376,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1046,-3746,6309
377,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1050,-3767,6345
378,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1065,-3793,6330
379,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1062,-3792,6330
380,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1060,-3769,6320
381,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1055,-3806,6284
382,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1065,-3766,6331
383,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1082,-3779,6343
384,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1064,-3762,6327
385,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1099,-3779,6275
386,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1054,-3767,6315
387,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1080,-3791,6293
