id,ax,ay,az,date_created,label,linx,liny,linz,meta_info,people_id,type_sensor
392,1456,832,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
393,1504,848,16704,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
394,1376,880,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
395,1296,944,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
396,1344,960,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
397,1456,880,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
398,1328,976,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
399,1344,912,16672,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
400,1344,928,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
401,1328,928,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
402,1296,912,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
403,1344,928,16704,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
404,1360,944,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
405,1344,912,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
406,1376,960,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
407,1328,944,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
408,1328,992,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
409,1328,928,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
410,1328,848,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
411,1344,944,16672,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
412,1376,976,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
413,1312,944,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
414,1376,944,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
415,1328,928,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
416,1328,912,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
417,1360,960,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
418,1328,944,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
419,1376,880,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
420,1264,1120,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
421,816,1344,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
422,736,1184,16768,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
423,912,992,16736,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
424,1088,928,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
425,1216,880,16672,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
426,1280,768,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
427,1392,704,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
428,1344,880,16624,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
429,1360,800,16704,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
430,1248,912,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
431,1312,864,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
432,1328,800,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
433,1488,672,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
434,1584,944,16528,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
435,1360,800,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
436,1344,736,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
437,1440,656,16704,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
438,1360,688,16752,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
439,1440,704,16672,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
440,1456,688,16704,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
441,1408,624,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
442,1456,608,16704,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
443,1440,656,16736,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
444,1440,592,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
445,1360,528,16768,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
446,1888,384,16672,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
447,1744,416,16816,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
448,1376,592,16784,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
449,1584,624,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
450,1536,688,16736,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
451,1632,624,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
452,1792,560,16576,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
453,1728,656,16624,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
454,1584,528,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
455,1600,512,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
456,1680,400,16704,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
457,1696,416,16560,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
458,1648,704,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
459,1872,736,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
460,2080,656,16608,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
461,2208,672,16608,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
462,2448,592,16592,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
463,2496,560,16624,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
464,2656,624,16512,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
465,2832,496,16576,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
466,3152,640,16528,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
467,3360,656,16432,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
468,3536,768,16400,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
469,3888,768,16208,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
470,4016,848,16288,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
471,4320,816,16256,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
472,4608,768,16128,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
473,4832,800,16016,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
474,5152,816,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
475,5552,768,15760,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
476,5696,736,15760,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
477,5792,688,15760,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
478,6080,736,15632,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
479,6224,800,15552,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
480,6288,640,15648,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
481,6448,736,15424,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
482,6432,672,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
483,6336,656,15520,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
484,6336,720,15472,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
485,6416,768,15376,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
486,6432,400,15680,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
487,6576,-80,15760,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
488,1392,880,16896,2018-10-19,"standard sitting, simple rolling",0,0,0,,,accelerometer
489,1360,880,16672,2018-10-19,"standard sitting, simple rolling",0,0,0,,,accelerometer
490,1376,928,16640,2018-10-19,"standard sitting, simple rolling",0,0,0,,,accelerometer
491,1360,960,16704,2018-10-19,"standard sitting, simple rolling",0,0,0,,,accelerometer
492,1328,880,16656,2018-10-19,"standard sitting, simple rolling",0,0,0,,,accelerometer
493,1360,912,16720,2018-10-19,"standard sitting, simple rolling",0,0,0,,,accelerometer
494,1328,928,16720,2018-10-19,"standard sitting, simple rolling",0,0,0,,,accelerometer
495,1296,912,16688,2018-10-19,"standard sitting, simple rolling",0,0,0,,,accelerometer
496,1344,928,16720,2018-10-19,"standard sitting, simple rolling",0,0,0,,,accelerometer
497,1440,944,16688,2018-10-19,"standard sitting, simple rolling",0,0,0,,,accelerometer
